Time,Isosbestic,Fluorescence
205.593418,216.403,190.067
205.793409,223.443,195.719
205.993396,228.365,199.623
206.193391,228.845,197.525
206.39338,228.156,198.539
206.59337,228.505,199.761
206.793358,228.351,201.487
206.993348,231.274,204.278
207.193341,232.861,205.594
207.39333,232.234,203.308
207.593322,229.29,204.07
207.793315,229.676,204.473
207.993307,230.488,205.553
208.1933,232.694,206.871
208.393297,232.695,206.226
208.59329,231.999,206.148
208.793279,232.128,206.543
208.993274,233.321,206.966
209.193267,233.747,206.663
209.393264,233.423,206.799
209.593256,233.374,206.802
209.793248,233.106,206.268
209.993244,232.029,205.197
210.19324,231.518,204.656
210.393232,232.869,204.817
210.593221,230.687,205.209
210.793214,233.188,206.017
210.99321,232.208,205.673
211.193203,231.96,189.983
211.393194,176.206,161.456
211.59319,204.894,227.656
211.793183,290.355,159.44
211.99318,260.299,165.195
212.193174,192.197,173.205
212.393164,243.006,300.105
212.593157,1118.253,625.222
212.793152,181.382,181.238
212.993147,153.381,176.617
213.193141,173.092,188.19
213.393131,225.868,169.672
213.593127,168.315,138.543
213.793119,183.903,168.286
